日期,新增,累计,新增,累计
2020/1/21,1,1,0,0
2020/1/22,0,1,0,0
2020/1/23,0,0,0,0
2020/1/24,1,2,0,0
2020/1/25,1,3,0,0
2020/1/26,2,5,0,0
2020/1/27,0,5,0,0
2020/1/28,0,5,0,0
2020/1/29,0,5,0,0
2020/1/30,1,6,0,0
2020/1/31,1,7,0,0
2020/2/1,1,8,0,0
2020/2/2,3,11,0,0
2020/2/3,0,11,0,0
2020/2/4,0,11,0,0
2020/2/5,1,12,0,0
2020/2/6,0,12,0,0
2020/2/7,0,12,0,0
2020/2/8,0,12,0,0
2020/2/9,0,12,0,0
2020/2/10,0,12,0,0
2020/2/11,0,12,0,0
2020/2/12,0,12,0,0
2020/2/13,0,12,0,0
2020/2/14,0,12,0,0
2020/2/15,0,12,0,0
2020/2/16,0,12,0,0
2020/2/17,0,12,0,0
2020/2/18,0,12,0,0
2020/2/19,0,12,0,0
2020/2/20,2,14,0,0
2020/2/21,0,14,0,0
2020/2/22,0,14,0,0
2020/2/23,0,14,0,0
2020/2/24,0,14,0,0
2020/2/25,0,14,0,0
2020/2/26,1,15,0,0
2020/2/27,0,15,0,0
2020/2/28,4,19,0,0
2020/2/29,5,24,1,1
2020/3/1,18,42,1,2
2020/3/2,15,57,4,6
2020/3/3,28,85,3,9
2020/3/4,26,111,2,11
2020/3/5,64,175,1,12
2020/3/6,77,252,5,17
2020/3/7,101,353,2,19
2020/3/8,144,497,2,21
2020/3/9,148,645,5,26
2020/3/10,291,936,5,31
2020/3/11,269,1205,7,38
2020/3/12,393,1598,4,42
2020/3/13,565,2163,8,49
2020/3/14,662,2825,7,56
2020/3/15,676,3501,6,62
2020/3/16,872,4373,14,76
2020/3/17,1291,5664,21,97
2020/3/18,2410,8074,26,123
2020/3/19,3948,12022,52,175
2020/3/20,5417,17439,55,230
2020/3/21,6271,23710,68,298
2020/3/22,8631,32341,110,408
2020/3/23,10410,42751,111,519
2020/3/24,9939,52690,162,681
2020/3/25,12226,64916,225,906
2020/3/26,17050,81966,253,1159
2020/3/27,19046,101022,433,1592
2020/3/28,20093,121105,447,2039
2020/3/29,19118,140223,392,2431
2020/3/30,20463,160686,554,2985
2020/3/31,25396,186082,821,3806
2020/4/1,26732,212814,940,4746
2020/4/2,28812,241626,1075,5821
2020/4/3,32182,273808,1186,7007
2020/4/4,34068,307876,1352,8359
2020/4/5,25717,333593,1175,9534
2020/4/6,29362,362955,1214,10748
2020/4/7,30752,393707,1928,12674
2020/4/8,32039,425746,1936,14610
2020/4/9,34243,459989,1856,16466
2020/4/10,33578,493567,2078,18544
2020/4/11,31869,525436,1909,20453
